Type,Runtime,Location,Date
Container,  0.006998,MA,2020-01-16
API,  0.188064,MA,2020-01-16
Container,  0.006007,MA,2020-01-16
API,  0.137356,MA,2020-01-16
Container,  0.008021,MA,2020-01-16
API,  0.135731,MA,2020-01-16
Container,  0.005970,MA,2020-01-16
API,  0.137782,MA,2020-01-16
Container,  0.006004,MA,2020-01-16
API,  0.136429,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.138160,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.136976,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.138263,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.139343,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.139802,MA,2020-01-16
Container,  0.006005,MA,2020-01-16
API,  0.139888,MA,2020-01-16
Container,  0.006995,MA,2020-01-16
API,  0.138567,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.140445,MA,2020-01-16
Container,  0.006027,MA,2020-01-16
API,  0.141605,MA,2020-01-16
Container,  0.006973,MA,2020-01-16
API,  0.137938,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.137505,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.136881,MA,2020-01-16
Container,  0.006000,MA,2020-01-16
API,  0.139207,MA,2020-01-16
Container,  0.006026,MA,2020-01-16
API,  0.137240,MA,2020-01-16
Container,  0.006973,MA,2020-01-16
API,  0.138795,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.139748,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.138098,MA,2020-01-16
Container,  0.007998,MA,2020-01-16
API,  0.139237,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.138127,MA,2020-01-16
Container,  0.007003,MA,2020-01-16
API,  0.138314,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.139442,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137533,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.134978,MA,2020-01-16
Container,  0.006976,MA,2020-01-16
API,  0.137525,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137101,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.141944,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.136270,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.138263,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137235,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.136995,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.136493,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.137460,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.139148,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.139358,MA,2020-01-16
Container,  0.006000,MA,2020-01-16
API,  0.136992,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.190862,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.140266,MA,2020-01-16
Container,  0.006002,MA,2020-01-16
API,  0.138092,MA,2020-01-16
Container,  0.007997,MA,2020-01-16
API,  0.139921,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.150037,MA,2020-01-16
Container,  0.006025,MA,2020-01-16
API,  0.138743,MA,2020-01-16
Container,  0.006974,MA,2020-01-16
API,  0.143582,MA,2020-01-16
Container,  0.005998,MA,2020-01-16
API,  0.142654,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.139724,MA,2020-01-16
Container,  0.005998,MA,2020-01-16
API,  0.151703,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.139095,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.137565,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.135684,MA,2020-01-16
Container,  0.007024,MA,2020-01-16
API,  0.143040,MA,2020-01-16
Container,  0.007976,MA,2020-01-16
API,  0.140860,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.139389,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.136821,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.143023,MA,2020-01-16
Container,  0.007004,MA,2020-01-16
API,  0.165986,MA,2020-01-16
Container,  0.007996,MA,2020-01-16
API,  0.136070,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.139780,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.191417,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137643,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.186081,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.137814,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.137295,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.134580,MA,2020-01-16
Container,  0.006005,MA,2020-01-16
API,  0.138326,MA,2020-01-16
Container,  0.006993,MA,2020-01-16
API,  0.136930,MA,2020-01-16
Container,  0.006000,MA,2020-01-16
API,  0.170933,MA,2020-01-16
Container,  0.006027,MA,2020-01-16
API,  0.138895,MA,2020-01-16
Container,  0.006973,MA,2020-01-16
API,  0.137104,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.131209,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.137206,MA,2020-01-16
Container,  0.007039,MA,2020-01-16
API,  0.138704,MA,2020-01-16
Container,  0.005958,MA,2020-01-16
API,  0.138564,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.151800,MA,2020-01-16
Container,  0.005999,MA,2020-01-16
API,  0.358276,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.138577,MA,2020-01-16
Container,  0.006001,MA,2020-01-16
API,  0.136288,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.210228,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.141934,MA,2020-01-16
Container,  0.011043,MA,2020-01-16
API,  0.153878,MA,2020-01-16
Container,  0.007965,MA,2020-01-16
API,  0.188498,MA,2020-01-16
Container,  0.008991,MA,2020-01-16
API,  0.137309,MA,2020-01-16
Container,  0.008102,MA,2020-01-16
API,  0.139691,MA,2020-01-16
Container,  0.008898,MA,2020-01-16
API,  0.141565,MA,2020-01-16
Container,  0.007008,MA,2020-01-16
API,  0.246236,MA,2020-01-16
Container,  0.008991,MA,2020-01-16
API,  0.212932,MA,2020-01-16
Container,  0.007002,MA,2020-01-16
API,  0.225316,MA,2020-01-16
Container,  0.008996,MA,2020-01-16
API,  0.140779,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.139243,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.135604,MA,2020-01-16
Container,  0.008106,MA,2020-01-16
API,  0.145545,MA,2020-01-16
Container,  0.007895,MA,2020-01-16
API,  0.155793,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.155704,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.135231,MA,2020-01-16
Container,  0.006998,MA,2020-01-16
API,  0.114773,MA,2020-01-16
Container,  0.006003,MA,2020-01-16
API,  0.115213,MA,2020-01-16
Container,  0.006996,MA,2020-01-16
API,  0.127209,MA,2020-01-16
Container,  0.006005,MA,2020-01-16
API,  0.113993,MA,2020-01-16
Container,  0.008021,MA,2020-01-16
API,  0.115018,MA,2020-01-16
Container,  0.006974,MA,2020-01-16
API,  0.117639,MA,2020-01-16
Container,  0.007001,MA,2020-01-16
API,  0.136455,MA,2020-01-16
Container,  0.008087,MA,2020-01-16
API,  0.133739,MA,2020-01-16
Container,  0.006911,MA,2020-01-16
API,  0.135991,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.121101,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137012,MA,2020-01-16
Container,  0.007044,MA,2020-01-16
API,  0.242271,MA,2020-01-16
Container,  0.007955,MA,2020-01-16
API,  0.120080,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.157672,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.136250,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.137824,MA,2020-01-16
Container,  0.006999,MA,2020-01-16
API,  0.135065,MA,2020-01-16
Container,  0.007011,MA,2020-01-16
API,  0.155743,MA,2020-01-16
Container,  0.006989,MA,2020-01-16
API,  0.236361,MA,2020-01-16
Container,  0.007009,MA,2020-01-16
API,  0.142226,MA,2020-01-16
Container,  0.007552,MA,2020-01-16
API,  0.141904,MA,2020-01-16
Container,  0.008006,MA,2020-01-16
API,  0.207344,MA,2020-01-16
Container,  0.008030,MA,2020-01-16
API,  0.136879,MA,2020-01-16
Container,  0.006028,MA,2020-01-16
API,  0.138753,MA,2020-01-16
Container,  0.006997,MA,2020-01-16
API,  0.142343,MA,2020-01-16
Container,  0.008001,MA,2020-01-16
API,  0.141927,MA,2020-01-16
Container,  0.008023,MA,2020-01-16
API,  0.138711,MA,2020-01-16
Container,  0.007352,MA,2020-01-16
API,  0.141650,MA,2020-01-16
Container,  0.007045,MA,2020-01-16
API,  0.142844,MA,2020-01-16
Container,  0.008049,MA,2020-01-16
API,  0.148392,MA,2020-01-16
Container,  0.006945,MA,2020-01-16
API,  0.141596,MA,2020-01-16
Container,  0.008234,MA,2020-01-16
API,  0.137923,MA,2020-01-16
Container,  0.007999,MA,2020-01-16
API,  0.137164,MA,2020-01-16
Container,  0.008000,MA,2020-01-16
API,  0.136676,MA,2020-01-16
