Type,Runtime,Location,Date
Container,  0.004003,MA,2020-01-16
API,  0.292924,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.275182,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.244097,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.236387,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.235717,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.207848,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.246669,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.225584,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.219387,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.238452,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.245852,MA,2020-01-16
Container,  0.004007,MA,2020-01-16
API,  0.221782,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.232949,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.252600,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.234577,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.238557,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.234814,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.227490,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.242507,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.256037,MA,2020-01-16
Container,  0.003005,MA,2020-01-16
API,  0.249611,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.274890,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.236273,MA,2020-01-16
Container,  0.003005,MA,2020-01-16
API,  0.189000,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.206742,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.233958,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.214864,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.233927,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.261638,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.250304,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.216545,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.223517,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.189239,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.246898,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.215187,MA,2020-01-16
Container,  0.004029,MA,2020-01-16
API,  0.202949,MA,2020-01-16
Container,  0.002974,MA,2020-01-16
API,  0.228361,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.261113,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.235995,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.276835,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.258436,MA,2020-01-16
Container,  0.004027,MA,2020-01-16
API,  0.231938,MA,2020-01-16
Container,  0.003521,MA,2020-01-16
API,  0.230152,MA,2020-01-16
Container,  0.003992,MA,2020-01-16
API,  0.223237,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.229171,MA,2020-01-16
Container,  0.004997,MA,2020-01-16
API,  0.347258,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.226027,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.223462,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.240023,MA,2020-01-16
Container,  0.004006,MA,2020-01-16
API,  0.236612,MA,2020-01-16
Container,  0.002998,MA,2020-01-16
API,  0.278415,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.242702,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.225920,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.241854,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.278970,MA,2020-01-16
Container,  0.004014,MA,2020-01-16
API,  0.214581,MA,2020-01-16
Container,  0.002988,MA,2020-01-16
API,  0.262676,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.213806,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.219360,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.277654,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.198071,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.216062,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.229124,MA,2020-01-16
Container,  0.004029,MA,2020-01-16
API,  0.232466,MA,2020-01-16
Container,  0.002976,MA,2020-01-16
API,  0.256470,MA,2020-01-16
Container,  0.004278,MA,2020-01-16
API,  0.252656,MA,2020-01-16
Container,  0.003720,MA,2020-01-16
API,  0.298270,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.232955,MA,2020-01-16
Container,  0.003033,MA,2020-01-16
API,  0.231880,MA,2020-01-16
Container,  0.003967,MA,2020-01-16
API,  0.222433,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.272827,MA,2020-01-16
Container,  0.004028,MA,2020-01-16
API,  0.220915,MA,2020-01-16
Container,  0.002974,MA,2020-01-16
API,  0.225338,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.247038,MA,2020-01-16
Container,  0.004027,MA,2020-01-16
API,  0.199855,MA,2020-01-16
Container,  0.002977,MA,2020-01-16
API,  0.224909,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.222722,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.208031,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.224309,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.245565,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.260513,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.249572,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.208645,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.227547,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.208579,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.231875,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.244729,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.206387,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.246427,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.222655,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.298709,MA,2020-01-16
Container,  0.004004,MA,2020-01-16
API,  0.265691,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.238037,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.221259,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.223574,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.265493,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.236028,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.260801,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.237902,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.220678,MA,2020-01-16
Container,  0.004032,MA,2020-01-16
API,  0.233294,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.241983,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.218543,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.208363,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.218029,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.200067,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.214811,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.240584,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.250629,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.202426,MA,2020-01-16
Container,  0.003001,MA,2020-01-16
API,  0.233128,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.224834,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.213246,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.203319,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.232959,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.233636,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.240077,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.241090,MA,2020-01-16
Container,  0.004996,MA,2020-01-16
API,  0.194497,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.204707,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.206788,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.263347,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.233913,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.246003,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.302964,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.308991,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.244981,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.216007,MA,2020-01-16
Container,  0.003999,MA,2020-01-16
API,  0.244251,MA,2020-01-16
Container,  0.003004,MA,2020-01-16
API,  0.228377,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.252242,MA,2020-01-16
Container,  0.004021,MA,2020-01-16
API,  0.248008,MA,2020-01-16
Container,  0.002980,MA,2020-01-16
API,  0.224696,MA,2020-01-16
Container,  0.004006,MA,2020-01-16
API,  0.253033,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.225208,MA,2020-01-16
Container,  0.003998,MA,2020-01-16
API,  0.340323,MA,2020-01-16
Container,  0.003002,MA,2020-01-16
API,  0.293934,MA,2020-01-16
Container,  0.007000,MA,2020-01-16
API,  0.244509,MA,2020-01-16
Container,  0.003996,MA,2020-01-16
API,  0.245783,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.213097,MA,2020-01-16
Container,  0.004002,MA,2020-01-16
API,  0.209990,MA,2020-01-16
Container,  0.004003,MA,2020-01-16
API,  0.239110,MA,2020-01-16
Container,  0.002997,MA,2020-01-16
API,  0.261591,MA,2020-01-16
Container,  0.004005,MA,2020-01-16
API,  0.242571,MA,2020-01-16
Container,  0.003993,MA,2020-01-16
API,  0.216962,MA,2020-01-16
Container,  0.004000,MA,2020-01-16
API,  0.237618,MA,2020-01-16
Container,  0.003003,MA,2020-01-16
API,  0.243627,MA,2020-01-16
Container,  0.003997,MA,2020-01-16
API,  0.225433,MA,2020-01-16
Container,  0.004001,MA,2020-01-16
API,  0.253615,MA,2020-01-16
Container,  0.003000,MA,2020-01-16
API,  0.238844,MA,2020-01-16
